large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,IP,event_content
【推しの子】,2021-03-04,6,1173.5,1173.5,54,1130.333333,1091.5,60,950.85,565,【推しの子】,ドラマ/青春
競女!!!!!!!!,2016-09-21,40,171.95,53,17,93.58823529,81,,,,競女!!!!!!!!,ドラマ/青春
競女!!!!!!!!,2016-09-21,40,171.95,53,17,93.58823529,81,,,,競女!!!!!!!!,コメディ/ギャグ
あんさんぶるスターズ!,2019-06-17,76,4114.75,2688.5,15,16927.73333,18797,,,,あんさんぶるスターズ!,ドラマ/青春
スロウスタート,2017-08-09,1,520,520,4,2429.75,2266,,,,スロウスタート,ドラマ/青春
戦翼のシグルドリーヴァ,2020-10-03,55,612.8,488,81,549.1851852,398,22,571.6818182,340,戦翼のシグルドリーヴァ,SF/ファンタジー
戦翼のシグルドリーヴァ,2020-10-03,55,612.8,488,81,549.1851852,398,22,571.6818182,340,戦翼のシグルドリーヴァ,アクション/バトル
機巧少女は傷つかない,2013-05-28,1,56,56,25,37.16,32,,,,機巧少女は傷つかない,ドラマ/青春
機巧少女は傷つかない,2013-05-28,1,56,56,25,37.16,32,,,,機巧少女は傷つかない,アクション/バトル
ソマリと森の神様,2019-11-17,4,315.5,299.5,11,1234,343,7,843,418,ソマリと森の神様,SF/ファンタジー
邪神ちゃんドロップキック,2018-01-12,36,142.5,68.5,273,35.07692308,11,,,,邪神ちゃんドロップキック,コメディ/ギャグ
恋愛ラボ,2013-07-04,35,44.6,42,160,48.19375,30.5,24,15.54166667,13,恋愛ラボ,ドラマ/青春
恋愛ラボ,2013-07-04,35,44.6,42,160,48.19375,30.5,24,15.54166667,13,恋愛ラボ,恋愛/ラブコメ
涼宮ハルヒシリーズ,2015-03-09,50,60.14,43,13,325.7692308,209,,,,涼宮ハルヒシリーズ,ドラマ/青春
涼宮ハルヒシリーズ,2015-03-09,50,60.14,43,13,325.7692308,209,,,,涼宮ハルヒシリーズ,恋愛/ラブコメ
涼宮ハルヒシリーズ,2015-03-09,50,60.14,43,13,325.7692308,209,,,,涼宮ハルヒシリーズ,SF/ファンタジー
涼宮ハルヒシリーズ,2015-03-09,50,60.14,43,13,325.7692308,209,,,,涼宮ハルヒシリーズ,SF/ファンタジー
ユーレイデコ,2022-06-09,33,24.75757576,20,22,71.81818182,32.5,,,,ユーレイデコ,SF/ファンタジー
放課後さいころ倶楽部,2019-10-11,4,131.5,75.5,103,259.9223301,159,,,,放課後さいころ倶楽部,ドラマ/青春
放課後さいころ倶楽部,2019-10-11,4,131.5,75.5,103,259.9223301,159,,,,放課後さいころ倶楽部,ドラマ/青春
魔法少女まどか☆マギカ,2011-01-14,8,137.25,62.5,88,24.11363636,16.5,,,,魔法少女まどか☆マギカ,SF/ファンタジー
魔法少女まどか☆マギカ,2011-01-14,8,137.25,62.5,88,24.11363636,16.5,,,,魔法少女まどか☆マギカ,SF/ファンタジー
魔法少女まどか☆マギカ,2011-01-14,8,137.25,62.5,88,24.11363636,16.5,,,,魔法少女まどか☆マギカ,SF/ファンタジー
魔法少女まどか☆マギカ,2011-01-14,8,137.25,62.5,88,24.11363636,16.5,,,,魔法少女まどか☆マギカ,SF/ファンタジー
魔法少女まどか☆マギカ,2011-01-14,8,137.25,62.5,88,24.11363636,16.5,,,,魔法少女まどか☆マギカ,SF/ファンタジー
デンキ街の本屋さん,2014-10-03,7,41,36,77,63.58441558,32,,,,デンキ街の本屋さん,恋愛/ラブコメ
真夜中のオカルト公務員,2018-10-09,1,121,121,4,261.75,238,,,,真夜中のオカルト公務員,SF/ファンタジー
波よ聞いてくれ,2020-03-09,4,188.75,180,42,206.9047619,119,,,,波よ聞いてくれ,ドラマ/青春
ZETMAN,2012-03-05,67,4.940298507,4,169,10.06508876,2,,,,ZETMAN,ドラマ/青春
ZETMAN,2012-03-05,67,4.940298507,4,169,10.06508876,2,,,,ZETMAN,ドラマ/青春
ZETMAN,2012-03-05,67,4.940298507,4,169,10.06508876,2,,,,ZETMAN,SF/ファンタジー
ZETMAN,2012-03-05,67,4.940298507,4,169,10.06508876,2,,,,ZETMAN,SF/ファンタジー
ZETMAN,2012-03-05,67,4.940298507,4,169,10.06508876,2,,,,ZETMAN,SF/ファンタジー
ZETMAN,2012-03-05,67,4.940298507,4,169,10.06508876,2,,,,ZETMAN,SF/ファンタジー
怪獣8号,2022-09-09,9,818.6666667,811,26,10265.88462,2233,14,2864.071429,2680,怪獣8号,ドラマ/青春
怪獣8号,2022-09-09,9,818.6666667,811,26,10265.88462,2233,14,2864.071429,2680,怪獣8号,アクション/バトル
Dance with Devils,2015-07-30,34,329.4117647,214.5,140,172.5714286,80,,,,Dance with Devils,ドラマ/青春
Dance with Devils,2015-07-30,34,329.4117647,214.5,140,172.5714286,80,,,,Dance with Devils,ドラマ/青春
Dance with Devils,2015-07-30,34,329.4117647,214.5,140,172.5714286,80,,,,Dance with Devils,SF/ファンタジー
可愛ければ変態でも好きになってくれますか?,2019-06-24,14,506.5714286,479.5,33,1053.121212,999,,,,可愛ければ変態でも好きになってくれますか?,ドラマ/青春
可愛ければ変態でも好きになってくれますか?,2019-06-24,14,506.5714286,479.5,33,1053.121212,999,,,,可愛ければ変態でも好きになってくれますか?,恋愛/ラブコメ
可愛ければ変態でも好きになってくれますか?,2019-06-24,14,506.5714286,479.5,33,1053.121212,999,,,,可愛ければ変態でも好きになってくれますか?,恋愛/ラブコメ
魔法科高校の劣等生,2014-02-02,135,74.22222222,71,285,146.2631579,80,,,,魔法科高校の劣等生,SF/ファンタジー
魔法科高校の劣等生,2014-02-02,135,74.22222222,71,285,146.2631579,80,,,,魔法科高校の劣等生,SF/ファンタジー
魔法科高校の劣等生,2014-02-02,135,74.22222222,71,285,146.2631579,80,,,,魔法科高校の劣等生,アクション/バトル
RWBY,2022-03-25,1,1427,1427,3,5738.333333,1715,,,,RWBY,SF/ファンタジー
RWBY,2022-03-25,1,1427,1427,3,5738.333333,1715,,,,RWBY,アクション/バトル
ぐらんぶる,2018-07-06,29,856.8965517,463,72,1254.180556,722.5,,,,ぐらんぶる,コメディ/ギャグ
老後に備えて異世界で8万枚の金貨を貯めます,2023-01-08,1,256,256,17,653.4705882,460,2,534,534,老後に備えて異世界で8万枚の金貨を貯めます,SF/ファンタジー
坂本ですが?,2016-03-11,63,341.5873016,220,42,300.3095238,47.5,,,,坂本ですが?,ドラマ/青春
坂本ですが?,2016-03-11,63,341.5873016,220,42,300.3095238,47.5,,,,坂本ですが?,コメディ/ギャグ
双星の陰陽師,2016-04-13,42,175.8571429,159,134,201.0074627,109.5,,,,双星の陰陽師,ドラマ/青春
双星の陰陽師,2016-04-13,42,175.8571429,159,134,201.0074627,109.5,,,,双星の陰陽師,恋愛/ラブコメ
双星の陰陽師,2016-04-13,42,175.8571429,159,134,201.0074627,109.5,,,,双星の陰陽師,SF/ファンタジー
双星の陰陽師,2016-04-13,42,175.8571429,159,134,201.0074627,109.5,,,,双星の陰陽師,アクション/バトル
刀使ノ巫女,2017-07-21,3,41.66666667,25,17,424.6470588,301,,,,刀使ノ巫女,アクション/バトル
境界線上のホライゾン,2011-06-02,51,21.05882353,17,273,20.05494505,12,,,,境界線上のホライゾン,ドラマ/青春
境界線上のホライゾン,2011-06-02,51,21.05882353,17,273,20.05494505,12,,,,境界線上のホライゾン,SF/ファンタジー
境界線上のホライゾン,2011-06-02,51,21.05882353,17,273,20.05494505,12,,,,境界線上のホライゾン,SF/ファンタジー
境界線上のホライゾン,2011-06-02,51,21.05882353,17,273,20.05494505,12,,,,境界線上のホライゾン,SF/ファンタジー
スペース☆ダンディ,2013-12-04,56,47.85714286,40,94,47.82978723,26,,,,スペース☆ダンディ,SF/ファンタジー
スペース☆ダンディ,2013-12-04,56,47.85714286,40,94,47.82978723,26,,,,スペース☆ダンディ,コメディ/ギャグ
スペース☆ダンディ,2013-12-04,56,47.85714286,40,94,47.82978723,26,,,,スペース☆ダンディ,アクション/バトル
シュガーアップル・フェアリーテイル,2023-02-07,68,398,357,260,355.2307692,304,,,,シュガーアップル・フェアリーテイル,SF/ファンタジー
86-エイティシックス-,2021-04-11,224,742.5714286,574.5,344,927.5930233,554.5,,,,86-エイティシックス-,SF/ファンタジー
86-エイティシックス-,2021-04-11,224,742.5714286,574.5,344,927.5930233,554.5,,,,86-エイティシックス-,SF/ファンタジー
86-エイティシックス-,2021-04-11,224,742.5714286,574.5,344,927.5930233,554.5,,,,86-エイティシックス-,アクション/バトル
おそ松くん,2015-08-26,176,4628,1927,56,3995.857143,3708,,,,おそ松くん,ドラマ/青春
おそ松くん,2015-08-26,176,4628,1927,56,3995.857143,3708,,,,おそ松くん,コメディ/ギャグ
バトルガール ハイスクール,2016-08-03,7,612.7142857,400,43,572.3488372,427,,,,バトルガール ハイスクール,アクション/バトル
うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,2019-03-20,1,839,839,4,1795.25,801.5,,,,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,SF/ファンタジー
うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,2019-03-20,1,839,839,4,1795.25,801.5,,,,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,SF/ファンタジー
あの日見た花の名前を僕達はまだ知らない。,2011-02-23,36,16.44444444,15,6,12,9,,,,あの日見た花の名前を僕達はまだ知らない。,恋愛/ラブコメ
あの日見た花の名前を僕達はまだ知らない。,2011-02-23,36,16.44444444,15,6,12,9,,,,あの日見た花の名前を僕達はまだ知らない。,SF/ファンタジー
かつて神だった獣たちへ,2019-05-31,6,169.6666667,161.5,42,200.5238095,130.5,,,,かつて神だった獣たちへ,SF/ファンタジー
かつて神だった獣たちへ,2019-05-31,6,169.6666667,161.5,42,200.5238095,130.5,,,,かつて神だった獣たちへ,SF/ファンタジー
のんのんびより,2020-10-27,48,346.4375,285,24,7896.625,4691.5,27,1776.444444,1440,のんのんびより,コメディ/ギャグ
天体のメソッド,2014-09-19,8,143.375,133,51,52.62745098,26,13,127.7692308,43,天体のメソッド,ドラマ/青春
天体のメソッド,2014-09-19,8,143.375,133,51,52.62745098,26,13,127.7692308,43,天体のメソッド,ドラマ/青春
天体のメソッド,2014-09-19,8,143.375,133,51,52.62745098,26,13,127.7692308,43,天体のメソッド,SF/ファンタジー
SELECTION PROJECT,2021-03-19,1,146,146,28,84.17857143,80.5,,,,SELECTION PROJECT,ドラマ/青春
灼熱カバディ,2021-04-03,4,525,505.5,46,1331.673913,937.5,17,2587.352941,1195,灼熱カバディ,ドラマ/青春
D.Gray-man,2016-03-04,1,1408,1408,27,5279.62963,3799,,,,D.Gray-man,ドラマ/青春
D.Gray-man,2016-03-04,1,1408,1408,27,5279.62963,3799,,,,D.Gray-man,SF/ファンタジー
D.Gray-man,2016-03-04,1,1408,1408,27,5279.62963,3799,,,,D.Gray-man,SF/ファンタジー
ろんぐらいだぁす!,2016-08-05,21,150.4761905,115,6,500.1666667,131.5,,,,ろんぐらいだぁす!,ドラマ/青春
カードキャプターさくら,2020-02-07,12,1280.666667,1426,12,2093.666667,828,,,,カードキャプターさくら,恋愛/ラブコメ
カードキャプターさくら,2020-02-07,12,1280.666667,1426,12,2093.666667,828,,,,カードキャプターさくら,SF/ファンタジー
宇宙なんちゃら こてつくん,2020-06-01,3,259.6666667,223,58,146.6896552,125.5,,,,宇宙なんちゃら こてつくん,SF/ファンタジー
銀河機攻隊 マジェスティックプリンス,2013-03-28,31,55.09677419,36,99,8.909090909,4,,,,銀河機攻隊 マジェスティックプリンス,SF/ファンタジー
政宗くんのリベンジ,2023-02-07,4,1520,1520,14,978.7142857,1071,,,,政宗くんのリベンジ,ドラマ/青春
