large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,ip_type
갓 오브 하이 스쿨,2020-09-29,3,123.0,125.0,148,191.04729729729721,114.5,,,,漫画
おちこぼれフルーツタルト,2020-07-26,7,533.0,372.0,9,1252.3333333333335,693.0,7,1225.5714285714287,1194.0,漫画
見える子ちゃん,2021-08-13,7,766.57142857142856,419.0,29,1202.2068965517242,795.0,,,,漫画
聖闘士星矢,2022-11-22,12,604.33333333333337,525.0,32,171.5,128.5,68,153.23529411764704,149.0,漫画
おとなの防具屋さん,2021-04-28,6,23.333333333333332,23.0,62,82.838709677419388,43.0,92,31.217391304347842,6.5,漫画
天晴爛漫!,2020-07-03,29,130.65517241379311,111.0,114,426.09649122807008,235.5,45,212.8,115.0,アニメ
処刑少女の生きる道,2022-03-22,1,217.0,217.0,43,183.58139534883719,114.0,29,259.0344827586207,130.0,ライトノベル
トライガン,2022-11-27,3,1400.6666666666665,643.0,28,3651.4285714285711,2264.0,,,,漫画
妹さえいればいい。,2017-07-19,35,337.6,321.0,2,955.5,955.5,,,,ライトノベル
下ネタという概念が存在しない退屈な世界,2015-06-28,25,159.2,125.0,14,67.571428571428569,46.0,,,,ライトノベル
デンキ街の本屋さん,2014-10-03,7,40.999999999999993,36.0,77,63.584415584415595,32.0,,,,漫画
魔王イブロギアに身を捧げよ,2020-11-22,6,22.5,21.5,163,29.392638036809824,8.0,,,,漫画
鉄拳,2021-05-06,2,21.5,21.5,2,379.0,379.0,,,,ゲーム
信長協奏曲,2014-12-01,1,159.0,159.0,41,162.80487804878052,151.0,16,49.875000000000007,33.5,漫画
ふらいんぐうぃっち,2015-12-18,4,225.25,183.0,86,24.779069767441847,15.5,,,,漫画
女子力高めな獅子原くん,2022-12-27,1,124.0,124.0,6,238.16666666666666,223.5,,,,漫画
あそびあそばせ,2018-07-27,23,424.4347826086958,403.0,36,265.13888888888886,161.5,,,,漫画
封神演義,2017-12-16,48,1162.8333333333333,853.5,56,9481.6428571428569,3051.0,,,,漫画
封神演義,2017-12-16,48,1162.8333333333333,853.5,56,9481.6428571428569,3051.0,,,,ゲーム
ザ・ファブル,2019-03-20,6,1109.3333333333333,509.0,24,1566.4583333333335,1012.5,1,275.0,275.0,漫画
小林さんちのメイドラゴン,2020-04-24,6,339.33333333333337,323.0,14,273.0,251.0,,,,漫画
